        U_ele_1         U_ele_2        band_gap       delta_gap      delta_band       delta_mag                                  mag_moment        obj_func           d_obj
         7.6877          0.0000          2.3407          2.3407          0.6433          0.0688   [-0.000,-0.000,2.871,-0.000,-0.000,0.116]         -0.2093          0.0611
         4.2674          0.0000          1.2985          1.2985          0.8311          0.0131   [-0.000,-0.000,2.762,-0.000,-0.000,0.198]         -0.3455          0.1362
         5.6962          0.0000          1.9971          1.9971          0.6799          0.0369       [0.000,0.000,2.808,0.000,0.000,0.162]         -0.2318          0.1137
         9.2053          0.0000          2.5901          2.5901          0.8082          0.0934     [0.000,0.000,2.921,-0.000,-0.000,0.082]         -0.3309          0.0991
         5.3020          0.0000          1.9244          1.9244          0.7121          0.0305     [-0.000,-0.000,2.795,0.000,0.000,0.171]         -0.2540          0.0769
         7.2381          0.0000          2.2641          2.2641          0.5908          0.0617     [-0.000,-0.000,2.857,0.000,0.000,0.126]         -0.1764          0.0776
        -0.7323          0.0000          0.0000          0.0000          1.5234          0.1146   [-0.000,-0.000,2.474,-0.000,-0.000,0.316]         -1.1669          0.9905
        -3.9139          0.0000          0.0000          0.0000          2.2214          0.6835       [0.000,0.000,1.069,0.000,0.000,0.073]         -2.7009          1.5340
         7.5327          0.0000          2.3132          2.3132          0.6228          0.0667     [0.000,0.000,2.867,-0.000,-0.000,0.119]         -0.1962          2.5048
         6.3020          0.0000          2.1044          2.1044          0.5969          0.0465     [-0.000,-0.000,2.827,0.000,0.000,0.148]         -0.1793          0.0169
         6.7860          0.0000          2.1878          2.1878          0.6041          0.0547   [-0.000,-0.000,2.843,-0.000,-0.000,0.136]         -0.1840          0.0047
         7.8288          0.0000          2.3623          2.3623          0.6561          0.0714       [0.000,0.000,2.876,0.000,0.000,0.112]         -0.2178          0.0338
         6.0149          0.0000          2.0545          2.0545          0.5961          0.0421     [-0.000,-0.000,2.818,0.000,0.000,0.154]         -0.1786          0.0392
         4.9646          0.0000          1.7872          1.7872          0.7691          0.0249     [0.000,0.000,2.784,-0.000,-0.000,0.179]         -0.2961          0.1175
         1.5131          0.0000          0.0000          0.0000          1.3343          0.0444       [0.000,0.000,2.641,0.000,0.000,0.269]         -0.8912          0.5951
         3.7749          0.0000          0.9983          0.9983          0.9628          0.0038     [-0.000,-0.000,2.744,0.000,0.000,0.212]         -0.4635          0.4276
         7.1609          0.0000          2.2514          2.2514          0.6117          0.0614       [0.000,0.000,2.856,0.000,0.000,0.126]         -0.1890          0.2745
        -1.6931          0.0000          0.0000          0.0000          1.9810          0.3385     [-0.000,-0.000,1.908,0.000,0.000,0.200]         -2.0196          1.8306
        -6.6632          0.0000          0.0000          0.0000          2.7967          1.1234     [0.000,0.000,-0.006,0.000,0.000,-0.002]         -4.5417          2.5221
        -7.9926          0.0000          0.0000          0.0000          2.8035          1.1209     [0.000,0.000,-0.000,0.000,0.000,-0.001]         -4.5580          0.0164
         7.3023          0.0000          2.2767          2.2767          0.5900          0.0630   [-0.000,-0.000,2.860,-0.000,-0.000,0.125]         -0.1761          4.3820
         6.9588          0.0000          2.2165          2.2165          0.5723          0.0576     [-0.000,-0.000,2.849,0.000,0.000,0.132]         -0.1654          0.0106
         6.9736          0.0000          2.2212          2.2212          0.5776          0.0571       [0.000,0.000,2.848,0.000,0.000,0.133]         -0.1684          0.0030
         6.9476          0.0000          2.2155          2.2155          0.6086          0.0573       [0.000,0.000,2.848,0.000,0.000,0.132]         -0.1869          0.0184
        -9.3106          0.0000          0.0000          0.0000          2.8109          1.1209    [0.000,0.000,0.000,-0.000,-0.000,-0.001]         -4.5788          4.3919
        -5.3429          0.0000          0.0000          0.0000          2.7883          1.1287     [0.000,0.000,-0.019,0.000,0.000,-0.002]         -4.5244          0.0543
         0.3341          0.0000          0.0000          0.0000          1.3241          0.0661   [-0.000,-0.000,2.613,-0.000,-0.000,0.322]         -0.8788          3.6456
         2.0636          0.0000          0.0297          0.0297          1.2741          0.0288       [0.000,0.000,2.681,0.000,0.000,0.261]         -0.8121          0.0667
         0.9492          0.0000          0.0000          0.0000          1.4809          0.0569       [0.000,0.000,2.619,0.000,0.000,0.292]         -1.0981          0.2860
         2.9511          0.0000          0.4958          0.4958          1.1326          0.0114       [0.000,0.000,2.715,0.000,0.000,0.235]         -0.6415          0.4567
        -0.5050          0.0000          0.0000          0.0000          1.4810          0.1007     [-0.000,-0.000,2.513,0.000,0.000,0.321]         -1.1017          0.4602
         3.3714          0.0000          0.7596          0.7596          1.0555          0.0035   [-0.000,-0.000,2.730,-0.000,-0.000,0.223]         -0.5570          0.5447
         2.5260          0.0000          0.2321          0.2321          1.2200          0.0198     [-0.000,-0.000,2.699,0.000,0.000,0.248]         -0.7444          0.1874
        -3.6017          0.0000          0.0000          0.0000          2.2042          0.6693       [0.000,0.000,1.104,0.000,0.000,0.074]         -2.6533          1.9089
         6.3559          0.0000          2.1148          2.1148          0.6038          0.0474     [-0.000,-0.000,2.829,0.000,0.000,0.147]         -0.1834          2.4699
         8.5682          0.0000          2.4835          2.4835          0.7168          0.0834     [-0.000,-0.000,2.900,0.000,0.000,0.095]         -0.2604          0.0770
         5.9697          0.0000          2.0487          2.0487          0.6424          0.0413     [-0.000,-0.000,2.817,0.000,0.000,0.156]         -0.2072          0.0532
        -0.9727          0.0000          0.0000          0.0000          1.8430          0.1598     [0.000,0.000,2.352,-0.000,-0.000,0.289]         -1.7111          1.5039
         4.4042          0.0000          1.3730          1.3730          0.8574          0.0151     [0.000,0.000,2.766,-0.000,-0.000,0.195]         -0.3677          1.3434
         9.3423          0.0000          2.6143          2.6143          0.8274          0.0951     [0.000,0.000,2.924,-0.000,-0.000,0.079]         -0.3468          0.0209
         4.6865          0.0000          1.6282          1.6282          0.7470          0.0197       [0.000,0.000,2.774,0.000,0.000,0.187]         -0.2792          0.0676
         8.3078          0.0000          2.4405          2.4405          0.6841          0.0793     [-0.000,-0.000,2.892,0.000,0.000,0.101]         -0.2371          0.0421
         9.8807          0.0000          2.7042          2.7042          0.9215          0.1040       [0.000,0.000,2.943,0.000,0.000,0.068]         -0.4300          0.1929
         9.0593          0.0000          2.5658          2.5658          0.7853          0.0913       [0.000,0.000,2.916,0.000,0.000,0.084]         -0.3125          0.1175
         4.1277          0.0000          1.2153          1.2153          0.8893          0.0099     [0.000,0.000,2.756,-0.000,-0.000,0.203]         -0.3955          0.0830
         8.0676          0.0000          2.4012          2.4012          0.6651          0.0758       [0.000,0.000,2.885,0.000,0.000,0.106]         -0.2240          0.1714
         6.5566          0.0000          2.1487          2.1487          0.5744          0.0513       [0.000,0.000,2.837,0.000,0.000,0.142]         -0.1663          0.0578
         5.4065          0.0000          1.9449          1.9449          0.6904          0.0319     [0.000,0.000,2.798,-0.000,-0.000,0.169]         -0.2389          0.0726
         5.7981          0.0000          2.0152          2.0152          0.6399          0.0390     [-0.000,-0.000,2.812,0.000,0.000,0.159]         -0.2055          0.0334
         8.8173          0.0000          2.5252          2.5252          0.7540          0.0872     [-0.000,-0.000,2.908,0.000,0.000,0.090]         -0.2881          0.0826
         9.6126          0.0000          2.6603          2.6603          0.8717          0.0995     [-0.000,-0.000,2.933,0.000,0.000,0.073]         -0.3849          0.0968
         5.1934          0.0000          1.8876          1.8876          0.6495          2.1799     [0.000,0.000,-2.590,0.000,0.000,-0.148]         -2.5868          2.2019
        -4.2658          0.0000          0.0000          0.0000          2.7753          1.0062     [-0.000,-0.000,0.280,0.000,0.000,0.023]         -4.3573          1.7705
        -2.4301          0.0000          0.0000          0.0000          2.0460          0.3766   [-0.000,-0.000,1.815,-0.000,-0.000,0.192]         -2.1639          2.1934
        -3.0009          0.0000          0.0000          0.0000          2.1451          0.5717     [0.000,0.000,1.341,-0.000,-0.000,0.108]         -2.4641          0.3001
        -9.6517          0.0000          0.0000          0.0000          2.8121          1.1209      [0.000,0.000,0.000,0.000,0.000,-0.001]         -4.5823          2.1183
        -5.0097          0.0000          0.0000          0.0000          2.7844          1.1119   [-0.000,-0.000,0.022,-0.000,-0.000,0.001]         -4.4947          0.0877
        -8.9813          0.0000          0.0000          0.0000          2.8081          1.1209   [-0.000,-0.000,-0.000,0.000,0.000,-0.001]         -4.5710          0.0763
        -5.6677          0.0000          0.0000          0.0000          2.7899          1.1275   [-0.000,-0.000,-0.016,0.000,0.000,-0.002]         -4.5273          0.0436
        -6.3280          0.0000          0.0000          0.0000          2.7942          1.1250 [-0.000,-0.000,-0.010,-0.000,-0.000,-0.002]         -4.5367          0.0093
        -6.9923          0.0000          0.0000          0.0000          2.7985          1.1222     [0.000,0.000,-0.003,0.000,0.000,-0.001]         -4.5455          0.0088
        -7.6579          0.0000          0.0000          0.0000          2.8015          1.1209   [0.000,-0.000,0.000,-0.000,-0.000,-0.001]         -4.5526          0.0071
        -8.3196          0.0000          0.0000          0.0000          2.8050          1.1209   [0.000,0.000,-0.000,-0.000,-0.000,-0.001]         -4.5622          0.0096
        -1.4608          0.0000          0.0000          0.0000          1.9338          0.2699       [0.000,0.000,2.076,0.000,0.000,0.232]         -1.9063          2.6559
        -1.9223          0.0000          0.0000          0.0000          2.0007          0.3475   [-0.000,-0.000,1.886,-0.000,-0.000,0.200]         -2.0618          0.1555
         0.1696          0.0000          0.0000          0.0000          1.3536          0.0701   [-0.000,-0.000,2.602,-0.000,-0.000,0.324]         -0.9186          1.1433
         0.4997          0.0000          0.0000          0.0000          1.2942          0.0614   [-0.000,-0.000,2.623,-0.000,-0.000,0.316]         -0.8394          0.0791
         1.3716          0.0000          0.0000          0.0000          1.3637          0.0477     [-0.000,-0.000,2.633,0.000,0.000,0.271]         -0.9310          0.0916
         1.9260          0.0000          0.0000          0.0000          1.2817          0.0314       [0.000,0.000,2.676,0.000,0.000,0.265]         -0.8218          0.1091
         0.8115          0.0000          0.0000          0.0000          1.5246          0.0594     [0.000,0.000,2.616,-0.000,-0.000,0.299]         -1.1639          0.3421
         1.6523          0.0000          0.0000          0.0000          1.3111          0.0406     [0.000,0.000,2.650,-0.000,-0.000,0.266]         -0.8603          0.3037
        -0.1325          0.0000          0.0000          0.0000          1.4126          0.0838     [0.000,0.000,2.559,-0.000,-0.000,0.320]         -1.0012          0.1409
         2.1900          0.0000          0.1063          0.1063          1.2621          0.0265     [0.000,0.000,2.686,-0.000,-0.000,0.258]         -0.7969          0.2044
         1.0874          0.0000          0.0000          0.0000          1.4388          0.0557     [0.000,0.000,2.616,-0.000,-0.000,0.281]         -1.0366          0.2398
         3.8781          0.0000          1.0650          1.0650          0.9074          0.0055     [-0.000,-0.000,2.747,0.000,0.000,0.209]         -0.4117          0.6249
         3.0575          0.0000          0.5649          0.5649          1.1316          0.0093   [-0.000,-0.000,2.719,-0.000,-0.000,0.232]         -0.6403          0.2286
         5.5949          0.0000          1.9788          1.9788          0.6818          0.0354       [0.000,0.000,2.805,0.000,0.000,0.164]         -0.2330          0.4073
         3.4729          0.0000          0.8165          0.8165          1.0329          0.0015   [-0.000,-0.000,2.734,-0.000,-0.000,0.220]         -0.5334          0.3004
         2.6324          0.0000          0.2994          0.2994          1.1884          0.0171       [0.000,0.000,2.705,0.000,0.000,0.245]         -0.7064          0.1729
        -0.3879          0.0000          0.0000          0.0000          1.4610          0.0955       [0.000,0.000,2.526,0.000,0.000,0.319]         -1.0718          0.3655
        -3.7596          0.0000          0.0000          0.0000          2.2133          0.6799       [0.000,0.000,1.078,0.000,0.000,0.072]         -2.6805          1.6087
         5.0359          0.0000          1.8316          1.8316          0.7511          0.0261       [0.000,0.000,2.787,0.000,0.000,0.178]         -0.2824          2.3981
        -4.4724          0.0000          0.0000          0.0000          2.7816          1.0754     [-0.000,-0.000,0.111,0.000,0.000,0.011]         -4.4467          4.1643
        -2.5741          0.0000          0.0000          0.0000          2.0841          0.4526   [-0.000,-0.000,1.630,-0.000,-0.000,0.158]         -2.2741          2.1726
        -3.4391          0.0000          0.0000          0.0000          2.1775          0.6049   [-0.000,-0.000,1.260,-0.000,-0.000,0.101]         -2.5537          0.2795
        -0.8459          0.0000          0.0000          0.0000          1.8245          0.1442       [0.000,0.000,2.392,0.000,0.000,0.294]         -1.6748          0.8789
         2.8448          0.0000          0.4330          0.4330          1.1605          0.0134      [0.000,0.000,2.711,0.000,-0.000,0.238]         -0.6735          1.0013
         3.6742          0.0000          0.9450          0.9450          0.9897          0.0020       [0.000,0.000,2.740,0.000,0.000,0.214]         -0.4898          0.1837
         3.2688          0.0000          0.6910          0.6910          1.0782          0.0056     [0.000,0.000,2.726,-0.000,-0.000,0.226]         -0.5813          0.0915
         2.4189          0.0000          0.1619          0.1619          1.2337          0.0215     [-0.000,-0.000,2.696,0.000,0.000,0.251]         -0.7612          0.1799
        -0.6178          0.0000          0.0000          0.0000          1.5026          0.1068     [-0.000,-0.000,2.496,0.000,0.000,0.320]         -1.1346          0.3734
        -2.2872          0.0000          0.0000          0.0000          2.0329          0.3589       [0.000,0.000,1.858,0.000,0.000,0.203]         -2.1308          0.9961
         7.6099          0.0000          2.3259          2.3259          0.6093          0.0679     [0.000,0.000,2.869,-0.000,-0.000,0.117]         -0.1879          1.9429
        -1.1053          0.0000          0.0000          0.0000          1.8954          0.2523     [-0.000,-0.000,2.119,0.000,0.000,0.227]         -1.8282          1.6402
        -4.0754          0.0000          0.0000          0.0000          2.2322          0.6900     [0.000,0.000,1.053,-0.000,-0.000,0.074]         -2.7295          0.9013
        -2.8588          0.0000          0.0000          0.0000          2.1257          0.5358   [-0.000,-0.000,1.428,-0.000,-0.000,0.122]         -2.4028          0.3266
         7.4539          0.0000          2.2997          2.2997          0.5966          0.0658       [0.000,0.000,2.865,0.000,0.000,0.120]         -0.1801          2.2227
         4.6163          0.0000          1.5071          1.5071          0.8191          0.0183   [-0.000,-0.000,2.772,-0.000,-0.000,0.190]         -0.3357          0.1555
         9.1282          0.0000          2.5764          2.5764          0.7928          0.0919       [0.000,0.000,2.917,0.000,0.000,0.083]         -0.3185          0.0172
         5.3485          0.0000          1.9330          1.9330          0.7086          0.0311       [0.000,0.000,2.796,0.000,0.000,0.170]         -0.2515          0.0670
        -3.1448          0.0000          0.0000          0.0000          2.1573          0.5824     [-0.000,-0.000,1.315,0.000,0.000,0.105]         -2.4965          2.2450
         4.8915          0.0000          1.7489          1.7489          0.7650          0.0232     [0.000,0.000,2.781,-0.000,-0.000,0.182]         -0.2929          2.2036
         6.2258          0.0000          2.0920          2.0920          0.6327          0.0454     [0.000,0.000,2.825,-0.000,-0.000,0.150]         -0.2012          0.0917
         7.7610          0.0000          2.3532          2.3532          0.6299          0.0702       [0.000,0.000,2.874,0.000,0.000,0.114]         -0.2008          0.0003
