U_ele_1 U_ele_2 band_gap delta_gap delta_band delta_mag mag_moment obj_func d_obj 
0.0 0 0.0 0.0 1.3863117962971963 0.07847080136373445 [0.000,0.000,2.576,0.000,0.000,0.323] -0.9640090316097132 N/A
-9.99195950217285 0 0.0 0.0 2.814356281719396 1.1201328790222467 [-0.000,-0.000,0.002,-0.000,-0.000,-0.001] -4.587649473560045 3.6236404419503323
-0.260995071520858 0 0.0 0.0 1.4386158717891537 0.09626093011532075 [-0.000,-0.000,2.523,0.000,0.000,0.317] -1.0394408966151663 3.5482085769448792
10.0 0 2.727641 2.727641 0.9422356119709547 0.10493251799767941 [-0.000,-0.000,2.945,-0.000,-0.000,0.067] -0.4494093908998065 0.5900315057153598
5.89834482683457 0 2.034335999999999 2.034335999999999 0.6165087302778967 0.04042482735481579 [0.000,0.000,2.815,0.000,0.000,0.157] -0.1908585905877655 0.25855080031204103
3.9862581639988544 0 1.1268600000000006 1.1268600000000006 0.9311775195013029 0.008416254115301738 [-0.000,-0.000,2.753,0.000,0.000,0.205] -0.43358120307896625 0.24272261249120075
7.954913699104427 0 2.3844019999999997 2.3844019999999997 0.6400385090179794 0.07373036461775197 [0.000,0.000,2.881,0.000,0.000,0.109] -0.2075427298463124 0.22603847323265386
6.899274911452748 0 2.20613 2.20613 0.5880351246757006 0.056429897513050054 [-0.000,-0.000,2.846,-0.000,-0.000,0.133] -0.17448482059285006 0.03305790925346233
6.441078317400233 0 2.126991000000001 2.126991000000001 0.620287243846842 0.049667225947633974 [-0.000,-0.000,2.832,0.000,0.000,0.142] -0.19361154910622244 0.019126728513372382
-4.677743462825788 0 0.0 0.0 2.7820017267527075 1.1024714659950767 [0.000,0.000,0.045,0.000,0.000,0.004] -4.4774884704941895 4.283876921387967
2.3143654481112366 0 0.0941749999999999 0.0941749999999999 1.2435722363430712 0.02352658071203716 [-0.000,-0.000,2.692,0.000,0.000,0.254] -0.7735127035016538 3.703975766992536
8.94054843841296 0 2.546317000000001 2.546317000000001 0.7642430921607118 0.0892431136465628 [-0.000,-0.000,2.912,0.000,0.000,0.087] -0.29601591862434984 0.47749678487730396
5.096168495996649 0 1.864834 1.864834 0.6960493248304143 0.026714540360385428 [0.000,0.000,2.788,0.000,0.000,0.177] -0.2425991646317711 0.053416753992578725
7.375078165254427 0 2.28726 2.28726 0.5982204894640066 0.06409628174343136 [-0.000,-0.000,2.862,0.000,0.000,0.123] -0.1809880436739445 0.061611120957826615
7.093876855896649 0 2.2399190000000004 2.2399190000000004 0.5844255040495283 0.05968947422563996 [0.000,0.000,2.853,0.000,0.000,0.129] -0.17255800155843928 0.008430042115505215
7.077400865063938 0 2.2366 2.2366 0.6192054138539073 0.058793423668524886 [0.000,0.000,2.851,0.000,0.000,0.130] -0.19343600560632762 0.020878004047888338
-7.329026793951277 0 0.0 0.0 2.800243154381665 1.1213537205835928 [-0.000,-0.000,-0.001,-0.000,-0.000,-0.001] -4.549397945164022 4.355961939557694
