#Distance(A)    Macroscopic-Average    Planar-Average
 19.9431             7.73283             7.73284
 20.0438             7.73283             7.73282
 20.1446             7.73283             7.73283
 20.2453             7.73283             7.73282
 20.3460             7.73283             7.73283
 20.4467             7.73283             7.73282
 20.5475             7.73282             7.73283
 20.6482             7.73282             7.73282
 20.7489             7.73282             7.73283
 20.8496             7.73282             7.73282
 20.9503             7.73282             7.73283
 21.0511             7.73282             7.73281
 21.1518             7.73282             7.73282
 21.2525             7.73282             7.73281
 21.3532             7.73282             7.73282
 21.4540             7.73282             7.73281
 21.5547             7.73281             7.73282
 21.6554             7.73281             7.73281
 21.7561             7.73281             7.73282
 21.8569             7.73281             7.73281
 21.9576             7.73281             7.73282
 22.0583             7.73281             7.73280
 22.1590             7.73281             7.73282
 22.2597             7.73281             7.73280
 22.3605             7.73281             7.73281
 22.4612             7.73280             7.73280
 22.5619             7.73280             7.73281
 22.6626             7.73280             7.73280
 22.7634             7.73280             7.73281
 22.8641             7.73280             7.73279
 22.9648             7.73280             7.73281
 23.0655             7.73280             7.73279
 23.1662             7.73279             7.73281
 23.2670             7.73279             7.73279
 23.3677             7.73279             7.73280
 23.4684             7.73279             7.73279
 23.5691             7.73278             7.73280
 23.6699             7.73278             7.73278
 23.7706             7.73278             7.73280
 23.8713             7.73277             7.73278
 23.9720             7.73276             7.73280
 24.0728             7.73275             7.73278
 24.1735             7.73274             7.73280
 24.2742             7.73272             7.73277
 24.3749             7.73269             7.73279
 24.4756             7.73266             7.73277
 24.5764             7.73262             7.73279
 24.6771             7.73256             7.73277
 24.7778             7.73248             7.73279
 24.8785             7.73238             7.73276
 24.9793             7.73224             7.73279
 25.0800             7.73206             7.73276
 25.1807             7.73180             7.73278
 25.2814             7.73147             7.73275
 25.3822             7.73101             7.73278
 25.4829             7.73040             7.73274
 25.5836             7.72958             7.73277
 25.6843             7.72847             7.73272
 25.7850             7.72699             7.73275
 25.8858             7.72499             7.73270
 25.9865             7.72230             7.73273
 26.0872             7.71867             7.73266
 26.1879             7.71375             7.73268
 26.2887             7.70713             7.73259
 26.3894             7.69831             7.73259
 26.4901             7.68678             7.73246
 26.5908             7.67198             7.73242
 26.6915             7.65333             7.73223
 26.7923             7.63025             7.73212
 26.8930             7.60216             7.73181
 26.9937             7.56845             7.73157
 27.0944             7.52855             7.73106
 27.1952             7.48189             7.73058
 27.2959             7.42793             7.72971
 27.3966             7.36621             7.72877
 27.4973             7.29631             7.72726
 27.5981             7.21784             7.72550
 27.6988             7.13040             7.72284
 27.7995             7.03355             7.71958
 27.9002             6.92681             7.71485
 28.0009             6.80961             7.70886
 28.1017             6.68135             7.70038
 28.2024             6.54138             7.68945
 28.3031             6.38906             7.67421
 28.4038             6.22379             7.65429
 28.5046             6.04508             7.62677
 28.6053             5.85269             7.59049
 28.7060             5.64662             7.54062
 28.8067             5.42716             7.47449
 28.9074             5.19487             7.38390
 29.0082             4.95051             7.26343
 29.1089             4.69500             7.09869
 29.2096             4.42944             6.87983
 29.3103             4.15501             6.58247
 29.4111             3.87300             6.23365
 29.5118             3.58472             5.72796
 29.6125             3.29148             4.88525
 29.7132             2.99448             3.72850
 29.8140             2.69474             2.41943
 29.9147             2.39311             1.17685
 30.0154             2.09025             0.16103
 30.1161             1.78673            -0.55288
 30.2168             1.48318            -0.99370
 30.3176             1.18036            -1.24676
 30.4183             0.87926            -1.41498
 30.5190             0.58113            -1.54688
 30.6197             0.28746            -1.62424
 30.7205            -0.00002            -1.56312
 30.8212            -0.27940            -1.28883
 30.9219            -0.54865            -0.74654
 31.0226            -0.80575             0.02579
 31.1234            -1.04887             0.73878
 31.2241            -1.27649             1.06503
 31.3248            -1.48750             0.79903
 31.4255            -1.68126            -0.10363
 31.5262            -1.85760            -1.41940
 31.6270            -2.01678            -2.87331
 31.7277            -2.15949            -4.35096
 31.8284            -2.28675            -5.72055
 31.9291            -2.39988            -6.86875
 32.0299            -2.50033            -7.71519
 32.1306            -2.58949            -8.20489
 32.2313            -2.66855            -8.31154
 32.3320            -2.73841            -8.02818
 32.4327            -2.79961            -7.37609
 32.5335            -2.85236            -6.39507
 32.6342            -2.89672            -5.16047
 32.7349            -2.93265            -3.76735
 32.8356            -2.96020            -2.35497
 32.9364            -2.97960            -1.02721
 33.0371            -2.99132            -0.00072
 33.1378            -2.99612             0.43658
 33.2385            -2.99513             0.24117
 33.3393            -2.98982            -0.42884
 33.4400            -2.98202            -1.28573
 33.5407            -2.97374            -1.99603
 33.6414            -2.96707            -2.43830
 33.7421            -2.96392            -2.66361
 33.8429            -2.96581            -2.73506
 33.9436            -2.97381            -2.74980
 34.0443            -2.98840            -2.75245
 34.1450            -3.00949            -2.72727
 34.2458            -3.03641            -2.58915
 34.3465            -3.06800            -2.25827
 34.4472            -3.10264            -1.67600
 34.5479            -3.13851            -0.86140
 34.6486            -3.17376            -0.08295
 34.7494            -3.20677             0.32543
 34.8501            -3.23627             0.14985
 34.9508            -3.26146            -0.67264
 35.0515            -3.28200            -1.93774
 35.1523            -3.29797            -3.35890
 35.2530            -3.30982            -4.81172
 35.3537            -3.31828            -6.16852
 35.4544            -3.32426            -7.30968
 35.5552            -3.32870            -8.15457
 35.6559            -3.33242            -8.64399
 35.7566            -3.33593            -8.75178
 35.8573            -3.33937            -8.46786
 35.9580            -3.34246            -7.81360
 36.0588            -3.34458            -6.82560
 36.1595            -3.34488            -5.57865
 36.2602            -3.34247            -4.16403
 36.3609            -3.33656            -2.72113
 36.4617            -3.32659            -1.35494
 36.5624            -3.31233            -0.26586
 36.6631            -3.29393             0.24988
 36.7638            -3.27201             0.12376
 36.8646            -3.24763            -0.49773
 36.9653            -3.22230            -1.33838
 37.0660            -3.19783            -2.05793
 37.1667            -3.17612            -2.51142
 37.2674            -3.15898            -2.74426
 37.3682            -3.14788            -2.81790
 37.4689            -3.14382            -2.82877
 37.5696            -3.14725            -2.82850
 37.6703            -3.15806            -2.80611
 37.7711            -3.17558            -2.68175
 37.8718            -3.19860            -2.37108
 37.9725            -3.22551            -1.81548
 38.0732            -3.25442            -1.01701
 38.1739            -3.28344            -0.22426
 38.2747            -3.31087             0.22381
 38.3754            -3.33537             0.10213
 38.4761            -3.35605            -0.66961
 38.5768            -3.37248            -1.91036
 38.6776            -3.38469            -3.32471
 38.7783            -3.39305            -4.77827
 38.8790            -3.39824            -6.14778
 38.9797            -3.40112            -7.30889
 39.0805            -3.40261            -8.17984
 39.1812            -3.40350            -8.69813
 39.2819            -3.40432            -8.83633
 39.3826            -3.40521            -8.58184
 39.4833            -3.40592            -7.95460
 39.5841            -3.40582            -6.98873
 39.6848            -3.40408            -5.75690
 39.7855            -3.39978            -4.34756
 39.8862            -3.39210            -2.89814
 39.9870            -3.38047            -1.51659
 40.0877            -3.36460            -0.38659
 40.1884            -3.34462             0.18994
 40.2891            -3.32110             0.11949
 40.3899            -3.29506            -0.46461
 40.4906            -3.26798            -1.29740
 40.5913            -3.24164            -2.03513
 40.6920            -3.21795            -2.50864
 40.7927            -3.19873            -2.75659
 40.8935            -3.18551            -2.83886
 40.9942            -3.17931            -2.85061
 41.0949            -3.18064            -2.84998
 41.1956            -3.18946            -2.83109
 41.2964            -3.20511            -2.71957
 41.3971            -3.22646            -2.42750
 41.4978            -3.25190            -1.89603
 41.5985            -3.27959            -1.11316
 41.6992            -3.30760            -0.30586
 41.8000            -3.33422             0.18276
 41.9007            -3.35806             0.11663
 42.0014            -3.37819            -0.60132
 42.1021            -3.39415            -1.81416
 42.2029            -3.40592            -3.22085
 42.3036            -3.41384            -4.67463
 42.4043            -3.41855            -6.05725
 42.5050            -3.42091            -7.23956
 42.6058            -3.42183            -8.13867
 42.7065            -3.42213            -8.68848
 42.8072            -3.42234            -8.86034
 42.9079            -3.42266            -8.63890
 43.0086            -3.42284            -8.04266
 43.1094            -3.42230            -7.10310
 43.2101            -3.42021            -5.89070
 43.3108            -3.41565            -4.49113
 43.4115            -3.40779            -3.03927
 43.5123            -3.39602            -1.64657
 43.6130            -3.38004            -0.48112
 43.7137            -3.35993             0.15315
 43.8144            -3.33621             0.13712
 43.9151            -3.30989            -0.40949
 44.0159            -3.28238            -1.23342
 44.1166            -3.25546            -1.98949
 44.2173            -3.23103            -2.48503
 44.3180            -3.21094            -2.74957
 44.4188            -3.19673            -2.84237
 44.5195            -3.18948            -2.85615
 44.6202            -3.18977            -2.85585
 44.7209            -3.19756            -2.84017
 44.8217            -3.21228            -2.74110
 44.9224            -3.23283            -2.46722
 45.0231            -3.25764            -1.95966
 45.1238            -3.28486            -1.19408
 45.2245            -3.31258            -0.37505
 45.3253            -3.33906             0.15256
 45.4260            -3.36287             0.14108
 45.5267            -3.38305            -0.52170
 45.6274            -3.39909            -1.70405
 45.7282            -3.41092            -3.10206
 45.8289            -3.41887            -4.55530
 45.9296            -3.42356            -5.94997
 46.0303            -3.42581            -7.15307
 46.1311            -3.42656            -8.07982
 46.2318            -3.42662            -8.66125
 46.3325            -3.42657            -8.86671
 46.4332            -3.42662            -8.67883
 46.5339            -3.42659            -8.11388
 46.6347            -3.42589            -7.20154
 46.7354            -3.42373            -6.00927
 46.8361            -3.41918            -4.62091
 46.9368            -3.41140            -3.16753
 47.0376            -3.39976            -1.76521
 47.1383            -3.38392            -0.56729
 47.2390            -3.36394             0.12325
 47.3397            -3.34030             0.16218
 47.4404            -3.31394            -0.34576
